,delay,expectation,congruency,stim_color,distractor_color
340,-100,0.4,unmet,green,red
341,300,0.6,met,red,green
342,-100,0.6,met,red,green
343,-167,0.6,met,red,green
344,-33,0.4,unmet,green,red
345,-100,0.6,met,red,green
346,-33,0.6,met,red,green
347,167,0.6,met,red,green
348,-300,0.6,met,red,green
349,-233,0.6,met,red,green
350,-167,0.6,met,red,green
351,-100,0.6,met,red,green
352,233,0.4,unmet,green,red
353,233,0.6,met,red,green
354,-167,0.6,met,red,green
355,300,0.6,met,red,green
356,-33,0.4,unmet,green,red
357,167,0.6,met,red,green
358,233,0.6,met,red,green
359,167,0.6,met,red,green
360,-33,0.4,unmet,green,red
361,167,0.6,met,red,green
362,100,0.6,met,red,green
363,-233,0.4,unmet,green,red
364,300,0.6,met,red,green
365,-233,0.4,unmet,green,red
366,-100,0.6,met,red,green
367,-100,0.6,met,red,green
368,-33,0.4,unmet,green,red
369,-167,0.6,met,red,green
370,167,0.6,met,red,green
371,-100,0.6,met,red,green
372,167,0.6,met,red,green
373,-233,0.6,met,red,green
374,-300,0.6,met,red,green
375,300,0.4,unmet,green,red
376,100,0.6,met,red,green
377,300,0.4,unmet,green,red
378,100,0.4,unmet,green,red
379,-300,0.6,met,red,green
380,33,0.6,met,red,green
381,33,0.4,unmet,green,red
382,-167,0.6,met,red,green
383,33,0.4,unmet,green,red
384,-167,0.6,met,red,green
385,-300,0.4,unmet,green,red
386,-167,0.4,unmet,green,red
387,100,0.6,met,red,green
388,233,0.4,unmet,green,red
389,-100,0.6,met,red,green
390,-300,0.4,unmet,green,red
391,-100,0.6,met,red,green
392,100,0.6,met,red,green
393,300,0.6,met,red,green
394,-233,0.6,met,red,green
395,167,0.4,unmet,green,red
396,100,0.6,met,red,green
397,100,0.6,met,red,green
398,167,0.6,met,red,green
399,-167,0.4,unmet,green,red
400,233,0.6,met,red,green
401,-33,0.6,met,red,green
402,-300,0.4,unmet,green,red
403,233,0.4,unmet,green,red
404,167,0.4,unmet,green,red
405,-100,0.4,unmet,green,red
406,233,0.4,unmet,green,red
407,-33,0.6,met,red,green
408,300,0.4,unmet,green,red
409,-233,0.4,unmet,green,red
410,167,0.6,met,red,green
411,300,0.6,met,red,green
412,-300,0.6,met,red,green
413,233,0.6,met,red,green
414,167,0.6,met,red,green
415,33,0.6,met,red,green
416,100,0.4,unmet,green,red
417,-167,0.6,met,red,green
418,300,0.6,met,red,green
419,-300,0.6,met,red,green
420,-300,0.6,met,red,green
421,33,0.6,met,red,green
422,-33,0.4,unmet,green,red
423,300,0.4,unmet,green,red
424,100,0.6,met,red,green
425,100,0.4,unmet,green,red
426,-33,0.4,unmet,green,red
427,33,0.6,met,red,green
428,-100,0.6,met,red,green
429,167,0.6,met,red,green
430,-33,0.6,met,red,green
431,33,0.6,met,red,green
432,-300,0.6,met,red,green
433,300,0.4,unmet,green,red
434,100,0.6,met,red,green
435,33,0.6,met,red,green
436,300,0.6,met,red,green
437,33,0.4,unmet,green,red
438,300,0.6,met,red,green
439,167,0.4,unmet,green,red
440,33,0.6,met,red,green
441,-300,0.6,met,red,green
442,33,0.6,met,red,green
443,-300,0.6,met,red,green
444,100,0.6,met,red,green
445,-233,0.4,unmet,green,red
446,-300,0.6,met,red,green
447,233,0.6,met,red,green
448,-100,0.4,unmet,green,red
449,-100,0.6,met,red,green
450,33,0.6,met,red,green
451,-300,0.6,met,red,green
452,-300,0.6,met,red,green
453,-233,0.4,unmet,green,red
454,100,0.6,met,red,green
455,-33,0.6,met,red,green
456,-300,0.6,met,red,green
457,33,0.6,met,red,green
458,100,0.6,met,red,green
459,233,0.6,met,red,green
460,-233,0.6,met,red,green
461,-33,0.6,met,red,green
462,-300,0.6,met,red,green
463,100,0.6,met,red,green
464,167,0.6,met,red,green
465,-33,0.6,met,red,green
466,300,0.4,unmet,green,red
467,-233,0.4,unmet,green,red
468,-100,0.4,unmet,green,red
469,233,0.6,met,red,green
470,100,0.6,met,red,green
471,100,0.6,met,red,green
472,300,0.4,unmet,green,red
473,167,0.4,unmet,green,red
474,33,0.6,met,red,green
475,33,0.4,unmet,green,red
476,-300,0.6,met,red,green
477,-300,0.6,met,red,green
478,-233,0.6,met,red,green
479,33,0.6,met,red,green
480,-233,0.4,unmet,green,red
481,-167,0.6,met,red,green
482,-300,0.6,met,red,green
483,-233,0.6,met,red,green
484,-300,0.4,unmet,green,red
485,33,0.6,met,red,green
486,-233,0.4,unmet,green,red
487,-33,0.6,met,red,green
488,-233,0.6,met,red,green
489,300,0.4,unmet,green,red
490,-167,0.6,met,red,green
491,33,0.4,unmet,green,red
492,33,0.4,unmet,green,red
493,-167,0.6,met,red,green
494,300,0.4,unmet,green,red
495,33,0.6,met,red,green
496,167,0.6,met,red,green
497,33,0.4,unmet,green,red
498,100,0.4,unmet,green,red
499,-233,0.6,met,red,green
