,delay,expectation,congruency,stim_color,distractor_color
155,-233,0.65,met,red,green
156,300,0.65,met,red,green
157,-100,0.65,met,red,green
158,167,0.65,met,red,green
159,100,0.65,met,red,green
160,167,0.65,met,red,green
161,-300,0.65,met,red,green
162,-33,0.65,met,red,green
163,-100,0.35,unmet,green,red
164,100,0.65,met,red,green
165,167,0.65,met,red,green
166,100,0.65,met,red,green
167,33,0.35,unmet,green,red
168,-167,0.65,met,red,green
169,-100,0.65,met,red,green
170,167,0.65,met,red,green
171,233,0.35,unmet,green,red
172,300,0.35,unmet,green,red
173,-33,0.65,met,red,green
174,-233,0.35,unmet,green,red
175,100,0.65,met,red,green
176,167,0.35,unmet,green,red
177,-100,0.65,met,red,green
178,233,0.65,met,red,green
179,-167,0.65,met,red,green
180,33,0.65,met,red,green
181,33,0.65,met,red,green
182,-100,0.65,met,red,green
183,167,0.65,met,red,green
184,-33,0.65,met,red,green
185,-100,0.65,met,red,green
186,167,0.65,met,red,green
187,33,0.35,unmet,green,red
188,300,0.35,unmet,green,red
189,100,0.35,unmet,green,red
190,-100,0.35,unmet,green,red
191,-233,0.35,unmet,green,red
192,-167,0.65,met,red,green
193,167,0.65,met,red,green
194,-33,0.65,met,red,green
195,100,0.35,unmet,green,red
196,-100,0.65,met,red,green
197,-100,0.35,unmet,green,red
198,167,0.35,unmet,green,red
199,100,0.65,met,red,green
200,-33,0.65,met,red,green
201,-233,0.65,met,red,green
202,-167,0.65,met,red,green
203,233,0.65,met,red,green
204,233,0.65,met,red,green
205,167,0.35,unmet,green,red
206,233,0.65,met,red,green
207,300,0.65,met,red,green
208,167,0.65,met,red,green
209,-33,0.65,met,red,green
210,-33,0.35,unmet,green,red
211,-233,0.65,met,red,green
212,-233,0.35,unmet,green,red
213,-100,0.65,met,red,green
214,100,0.65,met,red,green
215,100,0.35,unmet,green,red
216,100,0.65,met,red,green
217,-300,0.65,met,red,green
218,-300,0.65,met,red,green
219,100,0.65,met,red,green
220,-167,0.65,met,red,green
221,33,0.65,met,red,green
222,-167,0.65,met,red,green
223,33,0.35,unmet,green,red
224,-300,0.65,met,red,green
225,233,0.65,met,red,green
226,-33,0.35,unmet,green,red
227,233,0.35,unmet,green,red
228,-33,0.65,met,red,green
229,167,0.35,unmet,green,red
230,-167,0.35,unmet,green,red
231,-33,0.65,met,red,green
232,233,0.65,met,red,green
233,233,0.35,unmet,green,red
234,-167,0.35,unmet,green,red
235,167,0.35,unmet,green,red
236,233,0.65,met,red,green
237,300,0.65,met,red,green
238,-33,0.65,met,red,green
239,233,0.35,unmet,green,red
240,300,0.35,unmet,green,red
241,-33,0.65,met,red,green
242,167,0.65,met,red,green
243,-33,0.35,unmet,green,red
244,-233,0.35,unmet,green,red
245,-233,0.65,met,red,green
246,-300,0.65,met,red,green
247,-33,0.65,met,red,green
248,-167,0.65,met,red,green
249,33,0.65,met,red,green
250,-300,0.65,met,red,green
251,-33,0.65,met,red,green
252,-300,0.65,met,red,green
253,-167,0.65,met,red,green
254,-100,0.65,met,red,green
255,33,0.35,unmet,green,red
256,-33,0.65,met,red,green
257,33,0.35,unmet,green,red
258,-167,0.35,unmet,green,red
259,-33,0.65,met,red,green
260,-100,0.35,unmet,green,red
261,-300,0.65,met,red,green
262,167,0.65,met,red,green
263,300,0.65,met,red,green
264,-233,0.35,unmet,green,red
265,-167,0.65,met,red,green
266,167,0.65,met,red,green
267,-300,0.65,met,red,green
268,300,0.35,unmet,green,red
269,233,0.35,unmet,green,red
270,100,0.35,unmet,green,red
271,167,0.65,met,red,green
272,-233,0.65,met,red,green
273,-100,0.65,met,red,green
274,-100,0.65,met,red,green
275,-33,0.65,met,red,green
276,-33,0.35,unmet,green,red
277,300,0.65,met,red,green
278,-33,0.65,met,red,green
279,33,0.35,unmet,green,red
280,-233,0.65,met,red,green
281,-233,0.35,unmet,green,red
282,300,0.35,unmet,green,red
283,-100,0.65,met,red,green
284,-167,0.65,met,red,green
285,-100,0.65,met,red,green
286,167,0.35,unmet,green,red
287,-233,0.65,met,red,green
288,100,0.65,met,red,green
289,33,0.65,met,red,green
290,-167,0.65,met,red,green
291,-100,0.35,unmet,green,red
292,-33,0.65,met,red,green
293,-100,0.65,met,red,green
294,167,0.35,unmet,green,red
295,100,0.35,unmet,green,red
296,-233,0.65,met,red,green
297,-300,0.35,unmet,green,red
298,300,0.65,met,red,green
299,300,0.35,unmet,green,red
300,-233,0.65,met,red,green
301,-100,0.65,met,red,green
302,-33,0.65,met,red,green
303,300,0.65,met,red,green
304,-300,0.35,unmet,green,red
305,-100,0.65,met,red,green
306,100,0.65,met,red,green
307,300,0.65,met,red,green
308,-300,0.35,unmet,green,red
309,233,0.35,unmet,green,red
310,33,0.35,unmet,green,red
311,-100,0.65,met,red,green
312,233,0.35,unmet,green,red
313,167,0.65,met,red,green
314,33,0.65,met,red,green
315,-300,0.35,unmet,green,red
316,-300,0.35,unmet,green,red
317,167,0.65,met,red,green
318,233,0.35,unmet,green,red
319,-233,0.65,met,red,green
320,33,0.65,met,red,green
321,167,0.35,unmet,green,red
322,-300,0.35,unmet,green,red
323,233,0.65,met,red,green
324,-100,0.65,met,red,green
325,233,0.65,met,red,green
326,167,0.65,met,red,green
327,33,0.65,met,red,green
328,-167,0.65,met,red,green
329,167,0.35,unmet,green,red
330,-300,0.65,met,red,green
331,-300,0.35,unmet,green,red
332,33,0.65,met,red,green
333,167,0.65,met,red,green
334,-100,0.35,unmet,green,red
335,100,0.65,met,red,green
336,33,0.65,met,red,green
337,233,0.65,met,red,green
338,100,0.65,met,red,green
339,300,0.35,unmet,green,red
340,167,0.35,unmet,green,red
341,-100,0.35,unmet,green,red
342,300,0.35,unmet,green,red
343,-33,0.35,unmet,green,red
344,233,0.35,unmet,green,red
345,-233,0.35,unmet,green,red
346,-233,0.35,unmet,green,red
347,-300,0.35,unmet,green,red
348,33,0.65,met,red,green
349,167,0.65,met,red,green
350,-33,0.65,met,red,green
351,167,0.65,met,red,green
352,33,0.65,met,red,green
353,-100,0.65,met,red,green
354,233,0.65,met,red,green
355,33,0.35,unmet,green,red
356,167,0.65,met,red,green
357,300,0.65,met,red,green
358,-233,0.65,met,red,green
359,-100,0.35,unmet,green,red
360,300,0.35,unmet,green,red
361,100,0.65,met,red,green
362,300,0.35,unmet,green,red
363,-300,0.65,met,red,green
364,-167,0.65,met,red,green
365,300,0.35,unmet,green,red
366,33,0.65,met,red,green
367,167,0.65,met,red,green
368,167,0.65,met,red,green
369,167,0.65,met,red,green
370,-167,0.35,unmet,green,red
371,-33,0.35,unmet,green,red
372,233,0.35,unmet,green,red
373,233,0.35,unmet,green,red
374,100,0.35,unmet,green,red
375,-300,0.35,unmet,green,red
376,-233,0.35,unmet,green,red
377,-300,0.65,met,red,green
378,167,0.65,met,red,green
379,233,0.65,met,red,green
380,-233,0.65,met,red,green
381,233,0.35,unmet,green,red
382,300,0.35,unmet,green,red
383,-300,0.65,met,red,green
384,100,0.65,met,red,green
385,-100,0.65,met,red,green
386,-233,0.65,met,red,green
387,-233,0.35,unmet,green,red
388,-100,0.35,unmet,green,red
389,300,0.35,unmet,green,red
390,33,0.35,unmet,green,red
391,100,0.65,met,red,green
392,33,0.35,unmet,green,red
393,233,0.35,unmet,green,red
394,33,0.65,met,red,green
395,-100,0.35,unmet,green,red
396,-300,0.65,met,red,green
397,-233,0.35,unmet,green,red
398,-300,0.35,unmet,green,red
399,-33,0.65,met,red,green
400,-33,0.65,met,red,green
401,-100,0.65,met,red,green
402,-167,0.65,met,red,green
403,100,0.35,unmet,green,red
404,300,0.65,met,red,green
405,-167,0.35,unmet,green,red
406,33,0.65,met,red,green
407,-233,0.65,met,red,green
408,100,0.65,met,red,green
409,-100,0.35,unmet,green,red
410,233,0.65,met,red,green
411,33,0.35,unmet,green,red
412,33,0.65,met,red,green
413,100,0.65,met,red,green
414,233,0.65,met,red,green
415,-233,0.35,unmet,green,red
416,-167,0.65,met,red,green
417,-233,0.65,met,red,green
418,233,0.65,met,red,green
419,-100,0.65,met,red,green
420,33,0.65,met,red,green
421,300,0.35,unmet,green,red
422,100,0.65,met,red,green
423,33,0.35,unmet,green,red
424,-233,0.65,met,red,green
425,300,0.65,met,red,green
426,-33,0.65,met,red,green
427,-167,0.65,met,red,green
428,-233,0.65,met,red,green
429,-300,0.65,met,red,green
430,33,0.65,met,red,green
431,300,0.35,unmet,green,red
432,-167,0.65,met,red,green
433,-100,0.65,met,red,green
434,33,0.35,unmet,green,red
435,-167,0.65,met,red,green
436,-233,0.35,unmet,green,red
437,100,0.65,met,red,green
438,-233,0.65,met,red,green
439,33,0.65,met,red,green
440,-300,0.35,unmet,green,red
441,-167,0.65,met,red,green
442,300,0.35,unmet,green,red
443,233,0.65,met,red,green
444,100,0.35,unmet,green,red
445,-300,0.65,met,red,green
446,-33,0.35,unmet,green,red
447,100,0.65,met,red,green
448,167,0.35,unmet,green,red
449,-100,0.35,unmet,green,red
450,-167,0.65,met,red,green
451,100,0.65,met,red,green
452,233,0.65,met,red,green
453,100,0.65,met,red,green
454,-33,0.35,unmet,green,red
455,300,0.65,met,red,green
456,100,0.65,met,red,green
457,300,0.65,met,red,green
458,300,0.35,unmet,green,red
459,233,0.35,unmet,green,red
460,233,0.35,unmet,green,red
461,300,0.65,met,red,green
462,-233,0.65,met,red,green
463,-233,0.65,met,red,green
464,233,0.35,unmet,green,red
465,100,0.65,met,red,green
466,100,0.35,unmet,green,red
467,-100,0.65,met,red,green
468,-100,0.65,met,red,green
469,-233,0.35,unmet,green,red
470,100,0.35,unmet,green,red
471,-33,0.35,unmet,green,red
472,-33,0.65,met,red,green
473,-300,0.65,met,red,green
474,233,0.65,met,red,green
475,167,0.35,unmet,green,red
476,300,0.65,met,red,green
477,-300,0.65,met,red,green
478,-100,0.35,unmet,green,red
479,233,0.65,met,red,green
480,33,0.35,unmet,green,red
481,-167,0.65,met,red,green
482,-100,0.65,met,red,green
483,33,0.35,unmet,green,red
484,-100,0.65,met,red,green
485,33,0.65,met,red,green
486,-33,0.35,unmet,green,red
487,233,0.65,met,red,green
488,-33,0.65,met,red,green
489,233,0.65,met,red,green
490,33,0.35,unmet,green,red
491,300,0.35,unmet,green,red
492,33,0.35,unmet,green,red
493,100,0.35,unmet,green,red
494,300,0.35,unmet,green,red
495,233,0.35,unmet,green,red
496,33,0.35,unmet,green,red
497,-300,0.65,met,red,green
498,100,0.65,met,red,green
499,-300,0.65,met,red,green
