,delay,expectation,congruency,stim_color,distractor_color
70,300,0.65,met,green,red
71,-233,0.35,unmet,red,green
72,33,0.35,unmet,red,green
73,-33,0.65,met,green,red
74,233,0.65,met,green,red
75,100,0.35,unmet,red,green
76,100,0.65,met,green,red
77,100,0.65,met,green,red
78,-300,0.65,met,green,red
79,-33,0.65,met,green,red
80,-300,0.65,met,green,red
81,300,0.65,met,green,red
82,-33,0.35,unmet,red,green
83,-167,0.65,met,green,red
84,-167,0.65,met,green,red
85,167,0.65,met,green,red
86,300,0.35,unmet,red,green
87,300,0.35,unmet,red,green
88,-33,0.65,met,green,red
89,100,0.35,unmet,red,green
90,233,0.65,met,green,red
91,-33,0.65,met,green,red
92,-233,0.65,met,green,red
93,233,0.35,unmet,red,green
94,100,0.35,unmet,red,green
95,-100,0.65,met,green,red
96,33,0.35,unmet,red,green
97,300,0.65,met,green,red
98,-233,0.65,met,green,red
99,167,0.35,unmet,red,green
100,-100,0.65,met,green,red
101,300,0.35,unmet,red,green
102,-33,0.35,unmet,red,green
103,-100,0.35,unmet,red,green
104,-300,0.65,met,green,red
105,100,0.35,unmet,red,green
106,-233,0.65,met,green,red
107,167,0.65,met,green,red
108,-233,0.65,met,green,red
109,100,0.35,unmet,red,green
110,-33,0.35,unmet,red,green
111,-300,0.65,met,green,red
112,-233,0.65,met,green,red
113,-100,0.35,unmet,red,green
114,100,0.65,met,green,red
115,233,0.65,met,green,red
116,33,0.35,unmet,red,green
117,300,0.65,met,green,red
118,-100,0.65,met,green,red
119,-33,0.65,met,green,red
120,300,0.65,met,green,red
121,-33,0.35,unmet,red,green
122,233,0.65,met,green,red
123,33,0.65,met,green,red
124,-300,0.65,met,green,red
125,167,0.65,met,green,red
126,-100,0.65,met,green,red
127,-100,0.35,unmet,red,green
128,100,0.65,met,green,red
129,33,0.65,met,green,red
130,-167,0.35,unmet,red,green
131,-300,0.65,met,green,red
132,100,0.35,unmet,red,green
133,-167,0.35,unmet,red,green
134,233,0.35,unmet,red,green
135,-167,0.65,met,green,red
136,167,0.65,met,green,red
137,33,0.35,unmet,red,green
138,233,0.65,met,green,red
139,167,0.65,met,green,red
140,-33,0.65,met,green,red
141,100,0.65,met,green,red
142,300,0.65,met,green,red
143,-33,0.35,unmet,red,green
144,167,0.35,unmet,red,green
145,-233,0.65,met,green,red
146,167,0.35,unmet,red,green
147,-33,0.65,met,green,red
148,-100,0.35,unmet,red,green
149,100,0.65,met,green,red
150,-167,0.65,met,green,red
151,100,0.65,met,green,red
152,300,0.65,met,green,red
153,300,0.65,met,green,red
154,33,0.35,unmet,red,green
155,-100,0.35,unmet,red,green
156,-100,0.65,met,green,red
157,-167,0.65,met,green,red
158,167,0.65,met,green,red
159,-167,0.35,unmet,red,green
160,300,0.35,unmet,red,green
161,-233,0.65,met,green,red
162,-300,0.35,unmet,red,green
163,-300,0.35,unmet,red,green
164,-100,0.65,met,green,red
165,233,0.65,met,green,red
166,100,0.35,unmet,red,green
167,-300,0.35,unmet,red,green
168,-33,0.65,met,green,red
169,167,0.35,unmet,red,green
170,233,0.65,met,green,red
171,-300,0.35,unmet,red,green
172,-233,0.65,met,green,red
173,100,0.65,met,green,red
174,33,0.65,met,green,red
175,300,0.65,met,green,red
176,-100,0.65,met,green,red
177,233,0.35,unmet,red,green
178,-300,0.65,met,green,red
179,-167,0.35,unmet,red,green
180,-233,0.35,unmet,red,green
181,300,0.65,met,green,red
182,-33,0.65,met,green,red
183,-300,0.65,met,green,red
184,-233,0.65,met,green,red
185,100,0.65,met,green,red
186,33,0.35,unmet,red,green
187,300,0.65,met,green,red
188,300,0.65,met,green,red
189,300,0.65,met,green,red
190,-167,0.65,met,green,red
191,33,0.65,met,green,red
192,-233,0.35,unmet,red,green
193,-33,0.65,met,green,red
194,-233,0.65,met,green,red
195,300,0.65,met,green,red
196,-33,0.35,unmet,red,green
197,-100,0.65,met,green,red
198,233,0.65,met,green,red
199,233,0.65,met,green,red
200,-100,0.65,met,green,red
201,-100,0.35,unmet,red,green
202,33,0.35,unmet,red,green
203,33,0.35,unmet,red,green
204,233,0.35,unmet,red,green
205,300,0.65,met,green,red
206,-300,0.35,unmet,red,green
207,-33,0.65,met,green,red
208,-100,0.35,unmet,red,green
209,-167,0.65,met,green,red
210,167,0.65,met,green,red
211,233,0.65,met,green,red
212,300,0.35,unmet,red,green
213,100,0.65,met,green,red
214,167,0.65,met,green,red
215,33,0.65,met,green,red
216,-233,0.65,met,green,red
217,300,0.35,unmet,red,green
218,-167,0.65,met,green,red
219,-33,0.35,unmet,red,green
220,-300,0.35,unmet,red,green
221,300,0.65,met,green,red
222,33,0.35,unmet,red,green
223,-100,0.65,met,green,red
224,-100,0.65,met,green,red
225,33,0.65,met,green,red
226,100,0.65,met,green,red
227,-233,0.65,met,green,red
228,-167,0.65,met,green,red
229,-167,0.35,unmet,red,green
230,233,0.35,unmet,red,green
231,-300,0.35,unmet,red,green
232,33,0.65,met,green,red
233,-100,0.65,met,green,red
234,33,0.65,met,green,red
235,-100,0.35,unmet,red,green
236,300,0.35,unmet,red,green
237,33,0.35,unmet,red,green
238,-100,0.35,unmet,red,green
239,-300,0.65,met,green,red
240,-100,0.65,met,green,red
241,-300,0.65,met,green,red
242,233,0.65,met,green,red
243,167,0.65,met,green,red
244,-167,0.65,met,green,red
245,233,0.65,met,green,red
246,-167,0.65,met,green,red
247,-233,0.65,met,green,red
248,-167,0.65,met,green,red
249,100,0.65,met,green,red
250,33,0.65,met,green,red
251,233,0.65,met,green,red
252,-100,0.65,met,green,red
253,167,0.65,met,green,red
254,33,0.65,met,green,red
255,300,0.35,unmet,red,green
256,100,0.65,met,green,red
257,-33,0.35,unmet,red,green
258,33,0.65,met,green,red
259,-300,0.35,unmet,red,green
260,-233,0.35,unmet,red,green
261,33,0.35,unmet,red,green
262,233,0.35,unmet,red,green
263,-33,0.65,met,green,red
264,233,0.35,unmet,red,green
265,-167,0.65,met,green,red
266,167,0.65,met,green,red
267,300,0.65,met,green,red
268,-233,0.65,met,green,red
269,-33,0.65,met,green,red
270,-233,0.65,met,green,red
271,-233,0.65,met,green,red
272,-233,0.65,met,green,red
273,100,0.35,unmet,red,green
274,100,0.35,unmet,red,green
275,33,0.65,met,green,red
276,-33,0.35,unmet,red,green
277,167,0.65,met,green,red
278,-167,0.35,unmet,red,green
279,-167,0.65,met,green,red
280,300,0.65,met,green,red
281,-33,0.35,unmet,red,green
282,-100,0.65,met,green,red
283,-100,0.65,met,green,red
284,167,0.65,met,green,red
285,-100,0.65,met,green,red
286,-300,0.65,met,green,red
287,-167,0.65,met,green,red
288,100,0.65,met,green,red
289,-300,0.65,met,green,red
290,-233,0.65,met,green,red
291,-100,0.65,met,green,red
292,-300,0.65,met,green,red
293,233,0.65,met,green,red
294,100,0.65,met,green,red
295,100,0.35,unmet,red,green
296,167,0.65,met,green,red
297,-33,0.35,unmet,red,green
298,300,0.35,unmet,red,green
299,-233,0.35,unmet,red,green
300,-300,0.35,unmet,red,green
301,167,0.35,unmet,red,green
302,300,0.65,met,green,red
303,233,0.65,met,green,red
304,233,0.65,met,green,red
305,100,0.35,unmet,red,green
306,-233,0.35,unmet,red,green
307,167,0.65,met,green,red
308,167,0.65,met,green,red
309,167,0.65,met,green,red
310,-233,0.35,unmet,red,green
311,-233,0.65,met,green,red
312,300,0.65,met,green,red
313,-233,0.35,unmet,red,green
314,-100,0.65,met,green,red
315,233,0.65,met,green,red
316,233,0.35,unmet,red,green
317,33,0.35,unmet,red,green
318,-167,0.35,unmet,red,green
319,33,0.65,met,green,red
320,-233,0.35,unmet,red,green
321,-167,0.35,unmet,red,green
322,33,0.65,met,green,red
323,233,0.65,met,green,red
324,-100,0.65,met,green,red
325,-100,0.65,met,green,red
326,-233,0.35,unmet,red,green
327,233,0.65,met,green,red
328,33,0.65,met,green,red
329,300,0.65,met,green,red
330,33,0.65,met,green,red
331,-233,0.35,unmet,red,green
332,-233,0.65,met,green,red
333,100,0.65,met,green,red
334,100,0.35,unmet,red,green
335,33,0.65,met,green,red
336,-167,0.35,unmet,red,green
337,-100,0.35,unmet,red,green
338,233,0.65,met,green,red
339,-100,0.35,unmet,red,green
340,33,0.65,met,green,red
341,-167,0.35,unmet,red,green
342,-300,0.65,met,green,red
343,-33,0.35,unmet,red,green
344,33,0.35,unmet,red,green
345,-167,0.65,met,green,red
346,-167,0.35,unmet,red,green
347,-233,0.65,met,green,red
348,233,0.65,met,green,red
349,33,0.35,unmet,red,green
350,167,0.65,met,green,red
351,167,0.65,met,green,red
352,167,0.35,unmet,red,green
353,233,0.65,met,green,red
354,167,0.35,unmet,red,green
355,-233,0.65,met,green,red
356,-100,0.65,met,green,red
357,-300,0.65,met,green,red
358,-233,0.35,unmet,red,green
359,100,0.65,met,green,red
360,300,0.65,met,green,red
361,-300,0.35,unmet,red,green
362,-233,0.65,met,green,red
363,-100,0.35,unmet,red,green
364,100,0.35,unmet,red,green
365,300,0.65,met,green,red
366,-33,0.65,met,green,red
367,100,0.65,met,green,red
368,300,0.65,met,green,red
369,167,0.65,met,green,red
370,300,0.65,met,green,red
371,300,0.35,unmet,red,green
372,100,0.65,met,green,red
373,167,0.65,met,green,red
374,-167,0.65,met,green,red
375,100,0.35,unmet,red,green
376,-167,0.65,met,green,red
377,-33,0.65,met,green,red
378,-33,0.35,unmet,red,green
379,-100,0.35,unmet,red,green
380,-300,0.65,met,green,red
381,-233,0.65,met,green,red
382,-300,0.35,unmet,red,green
383,-167,0.65,met,green,red
384,-33,0.65,met,green,red
385,-33,0.65,met,green,red
386,33,0.65,met,green,red
387,-233,0.65,met,green,red
388,300,0.65,met,green,red
389,-100,0.35,unmet,red,green
390,167,0.65,met,green,red
391,100,0.35,unmet,red,green
392,33,0.65,met,green,red
393,33,0.65,met,green,red
394,33,0.35,unmet,red,green
395,-167,0.65,met,green,red
396,233,0.65,met,green,red
397,-33,0.65,met,green,red
398,167,0.35,unmet,red,green
399,-100,0.65,met,green,red
400,300,0.35,unmet,red,green
401,-33,0.65,met,green,red
402,100,0.65,met,green,red
403,100,0.65,met,green,red
404,-233,0.65,met,green,red
405,-100,0.35,unmet,red,green
406,-300,0.35,unmet,red,green
407,-300,0.65,met,green,red
408,-300,0.35,unmet,red,green
409,-167,0.65,met,green,red
410,-33,0.65,met,green,red
411,-33,0.65,met,green,red
412,100,0.65,met,green,red
413,-233,0.65,met,green,red
414,-300,0.65,met,green,red
415,-300,0.65,met,green,red
416,-100,0.65,met,green,red
417,300,0.65,met,green,red
418,-300,0.65,met,green,red
419,167,0.65,met,green,red
420,-233,0.35,unmet,red,green
421,-167,0.65,met,green,red
422,233,0.65,met,green,red
423,167,0.65,met,green,red
424,233,0.65,met,green,red
425,233,0.65,met,green,red
426,100,0.35,unmet,red,green
427,-33,0.65,met,green,red
428,-300,0.65,met,green,red
429,100,0.35,unmet,red,green
430,300,0.65,met,green,red
431,167,0.35,unmet,red,green
432,167,0.65,met,green,red
433,233,0.65,met,green,red
434,-100,0.35,unmet,red,green
435,-233,0.65,met,green,red
436,-300,0.65,met,green,red
437,100,0.65,met,green,red
438,167,0.35,unmet,red,green
439,-33,0.65,met,green,red
440,167,0.65,met,green,red
441,-167,0.65,met,green,red
442,-233,0.35,unmet,red,green
443,-300,0.35,unmet,red,green
444,33,0.65,met,green,red
445,-100,0.65,met,green,red
446,300,0.65,met,green,red
447,167,0.65,met,green,red
448,233,0.65,met,green,red
449,-167,0.35,unmet,red,green
450,167,0.65,met,green,red
451,100,0.65,met,green,red
452,100,0.35,unmet,red,green
453,-167,0.65,met,green,red
454,167,0.65,met,green,red
455,233,0.35,unmet,red,green
456,233,0.65,met,green,red
457,233,0.65,met,green,red
458,-167,0.65,met,green,red
459,-33,0.35,unmet,red,green
460,-33,0.35,unmet,red,green
461,-167,0.65,met,green,red
462,-167,0.65,met,green,red
463,-300,0.65,met,green,red
464,100,0.35,unmet,red,green
465,33,0.65,met,green,red
466,-233,0.35,unmet,red,green
467,-233,0.35,unmet,red,green
468,-167,0.65,met,green,red
469,-300,0.35,unmet,red,green
470,-167,0.65,met,green,red
471,-33,0.35,unmet,red,green
472,-100,0.35,unmet,red,green
473,33,0.65,met,green,red
474,-100,0.65,met,green,red
475,-33,0.35,unmet,red,green
476,300,0.65,met,green,red
477,-167,0.65,met,green,red
478,-167,0.65,met,green,red
479,-300,0.65,met,green,red
480,300,0.65,met,green,red
481,-167,0.65,met,green,red
482,-300,0.35,unmet,red,green
483,300,0.65,met,green,red
484,100,0.65,met,green,red
485,-100,0.35,unmet,red,green
486,-33,0.65,met,green,red
487,100,0.35,unmet,red,green
488,-100,0.65,met,green,red
489,167,0.65,met,green,red
490,233,0.35,unmet,red,green
491,-233,0.65,met,green,red
492,-33,0.65,met,green,red
493,167,0.65,met,green,red
494,33,0.65,met,green,red
495,167,0.35,unmet,red,green
496,167,0.65,met,green,red
497,33,0.65,met,green,red
498,233,0.35,unmet,red,green
499,-300,0.35,unmet,red,green
